userid,softwaredevelopment,frontenddev,backenddev,fullstack,mobiledevelopment,webapplicationdevelopment,degreeid
1,sd1,fe0,be1,fs0,md0,wd1,DID01
2,sd1,fe0,be1,fs0,md1,wd1,DID01
3,sd1,fe1,be1,fs1,md0,wd1,DID02
4,sd1,fe0,be0,fs0,md1,wd1,DID01
5,sd1,fe0,be0,fs0,md0,wd0,DID02
6,sd1,fe0,be0,fs0,md1,wd0,DID02
7,sd1,fe0,be0,fs0,md0,wd1,DID03
8,sd1,fe0,be0,fs0,md1,wd0,DID01
9,sd1,fe0,be0,fs0,md0,wd1,DID01
10,sd0,fe0,be0,fs0,md0,wd1,DID03
11,sd0,fe0,be1,fs0,md0,wd1,DID02
12,sd0,fe1,be0,fs0,md0,wd0,DID02
13,sd0,fe0,be0,fs0,md1,wd1,DID01
14,sd0,fe0,be0,fs0,md0,wd0,DID02
15,sd0,fe0,be0,fs0,md0,wd0,DID03
16,sd0,fe0,be0,fs0,md1,wd1,DID03
17,sd0,fe0,be0,fs1,md0,wd1,DID02
18,sd0,fe0,be0,fs1,md0,wd1,DID02
19,sd0,fe0,be0,fs1,md0,wd1,DID01
20,sd0,fe0,be0,fs0,md0,wd0,DID01
21,sd0,fe0,be0,fs0,md0,wd0,DID03
22,sd1,fe0,be0,fs0,md0,wd1,DID04
23,sd1,fe0,be0,fs0,md0,wd0,DID02
24,sd0,fe0,be0,fs0,md1,wd0,DID02
25,sd1,fe1,be0,fs0,md0,wd0,DID02
26,sd1,fe0,be0,fs0,md0,wd0,DID02
27,sd0,fe0,be0,fs0,md0,wd0,DID03
28,sd1,fe0,be0,fs0,md0,wd0,DID02
29,sd1,fe0,be0,fs0,md1,wd0,DID03
30,sd1,fe0,be0,fs0,md0,wd0,DID02
31,sd1,fe0,be0,fs0,md0,wd0,DID02
32,sd1,fe0,be0,fs0,md0,wd0,DID02
33,sd1,fe0,be0,fs0,md0,wd0,DID02
34,sd1,fe0,be0,fs0,md0,wd0,DID02
35,sd1,fe0,be0,fs0,md0,wd0,DID02
36,sd1,fe0,be0,fs0,md0,wd0,DID02
37,sd1,fe0,be0,fs0,md0,wd1,DID02
38,sd1,fe0,be0,fs0,md0,wd1,DID01
39,sd1,fe0,be0,fs0,md0,wd1,DID02
40,sd1,fe0,be0,fs0,md0,wd1,DID02
41,sd1,fe0,be0,fs1,md0,wd1,DID02
42,sd1,fe0,be0,fs1,md0,wd1,DID01
43,sd1,fe0,be0,fs1,md0,wd1,DID01
44,sd1,fe0,be0,fs1,md0,wd1,DID02
45,sd1,fe0,be0,fs1,md0,wd1,DID02
46,sd1,fe0,be0,fs1,md0,wd1,DID02
47,sd1,fe0,be0,fs1,md0,wd1,DID02
48,sd1,fe0,be0,fs1,md0,wd1,DID02
49,sd1,fe0,be0,fs1,md0,wd1,DID01
50,sd1,fe0,be0,fs1,md0,wd1,DID02
51,sd1,fe0,be0,fs0,md0,wd0,DID02
52,sd1,fe0,be0,fs0,md0,wd0,DID01
53,sd1,fe0,be0,fs0,md0,wd0,DID02
54,sd1,fe0,be0,fs0,md0,wd0,DID02
55,sd1,fe0,be0,fs0,md0,wd0,DID02
56,sd1,fe0,be0,fs0,md0,wd0,DID01
57,sd1,fe0,be0,fs0,md0,wd1,DID02
58,sd1,fe0,be0,fs0,md0,wd1,DID02
59,sd1,fe0,be0,fs0,md0,wd1,DID02
60,sd1,fe0,be0,fs1,md0,wd1,DID01
61,sd1,fe0,be0,fs1,md0,wd1,DID02
62,sd1,fe0,be0,fs1,md0,wd1,DID01
63,sd1,fe0,be0,fs1,md0,wd1,DID02
64,sd1,fe0,be0,fs0,md0,wd0,DID01
65,sd1,fe0,be0,fs0,md0,wd0,DID01
66,sd1,fe0,be0,fs0,md0,wd0,DID02
67,sd1,fe0,be0,fs0,md0,wd0,DID01
68,sd1,fe0,be0,fs0,md0,wd0,DID02
69,sd1,fe0,be0,fs0,md0,wd0,DID02
70,sd1,fe0,be0,fs0,md0,wd1,DID01
71,sd1,fe0,be0,fs0,md0,wd1,DID01
72,sd1,fe0,be0,fs0,md0,wd1,DID01
73,sd1,fe0,be0,fs0,md0,wd1,DID02
74,sd1,fe0,be0,fs0,md0,wd1,DID01
75,sd1,fe0,be0,fs0,md0,wd1,DID02
76,sd1,fe0,be0,fs1,md0,wd1,DID02
77,sd0,fe0,be0,fs1,md0,wd1,DID02
78,sd0,fe0,be0,fs1,md0,wd1,DID02
79,sd0,fe0,be0,fs1,md0,wd1,DID02
80,sd1,fe0,be0,fs1,md0,wd1,DID02
81,sd1,fe0,be0,fs1,md0,wd1,DID02
82,sd0,fe0,be0,fs1,md0,wd1,DID02
83,sd1,fe0,be0,fs1,md0,wd1,DID02
84,sd0,fe0,be0,fs0,md0,wd0,DID02
85,sd0,fe0,be0,fs0,md0,wd0,DID02
86,sd1,fe0,be0,fs1,md0,wd1,DID02
87,sd1,fe0,be0,fs1,md0,wd1,DID02
88,sd1,fe0,be0,fs1,md0,wd1,DID02
89,sd0,fe0,be0,fs1,md0,wd1,DID02
90,sd0,fe0,be0,fs1,md0,wd1,DID02
91,sd0,fe0,be0,fs0,md0,wd0,DID02
92,sd1,fe0,be0,fs0,md0,wd0,DID02
93,sd0,fe0,be0,fs0,md0,wd0,DID02
94,sd1,fe0,be0,fs0,md0,wd0,DID02
95,sd0,fe0,be0,fs0,md0,wd0,DID02
96,sd0,fe0,be0,fs0,md0,wd0,DID02
97,sd0,fe0,be0,fs0,md0,wd0,DID02
98,sd1,fe0,be0,fs0,md0,wd0,DID02
99,sd1,fe0,be0,fs0,md0,wd0,DID02
100,sd0,fe0,be0,fs0,md0,wd0,DID02
101,sd0,fe0,be0,fs0,md0,wd0,DID02
102,sd1,fe0,be0,fs0,md0,wd0,DID02
103,sd0,fe0,be0,fs0,md0,wd0,DID02
104,sd1,fe0,be0,fs0,md1,wd0,DID02
105,sd0,fe0,be0,fs0,md0,wd0,DID03
106,sd1,fe0,be0,fs0,md0,wd0,DID03
107,sd0,fe0,be0,fs0,md0,wd0,DID03
108,sd0,fe0,be0,fs0,md0,wd0,DID03
109,sd1,fe0,be0,fs0,md0,wd0,DID03
110,sd1,fe0,be0,fs0,md0,wd0,DID03
111,sd1,fe0,be0,fs0,md0,wd0,DID03
112,sd0,fe0,be0,fs0,md0,wd0,DID03
113,sd0,fe0,be0,fs0,md0,wd0,DID03
114,sd1,fe0,be0,fs0,md0,wd0,DID03
115,sd1,fe0,be0,fs0,md1,wd0,DID02
116,sd0,fe0,be0,fs0,md1,wd0,DID02
117,sd1,fe0,be0,fs0,md1,wd0,DID02
118,sd0,fe0,be0,fs0,md1,wd0,DID02
119,sd0,fe0,be0,fs0,md1,wd0,DID02
120,sd1,fe0,be0,fs0,md1,wd0,DID02
121,sd1,fe0,be0,fs0,md1,wd0,DID02
122,sd0,fe0,be0,fs0,md0,wd0,DID02
123,sd1,fe0,be0,fs0,md0,wd0,DID02
124,sd0,fe0,be0,fs0,md1,wd0,DID02
125,sd1,fe0,be0,fs0,md0,wd0,DID03
126,sd1,fe0,be0,fs0,md0,wd0,DID03
127,sd0,fe0,be0,fs0,md0,wd0,DID03
128,sd0,fe0,be0,fs0,md0,wd0,DID03
129,sd0,fe0,be0,fs0,md0,wd0,DID03
130,sd0,fe0,be0,fs0,md0,wd0,DID03
131,sd0,fe0,be0,fs0,md0,wd0,DID03
132,sd0,fe0,be0,fs0,md0,wd0,DID03
133,sd0,fe0,be0,fs0,md0,wd0,DID03
134,sd0,fe0,be0,fs0,md1,wd0,DID02
135,sd0,fe0,be0,fs0,md1,wd0,DID02
136,sd1,fe0,be0,fs0,md1,wd0,DID02
137,sd1,fe0,be0,fs0,md1,wd0,DID02
138,sd0,fe0,be0,fs0,md1,wd0,DID03
139,sd0,fe0,be0,fs0,md1,wd0,DID03
140,sd0,fe0,be0,fs0,md1,wd0,DID01
141,sd1,fe0,be0,fs1,md0,wd1,DID02
142,sd0,fe0,be0,fs1,md0,wd1,DID02
143,sd1,fe0,be0,fs1,md0,wd1,DID02
144,sd0,fe0,be0,fs1,md0,wd1,DID01
145,sd0,fe0,be0,fs1,md0,wd1,DID02
146,sd1,fe0,be0,fs1,md0,wd1,DID02
147,sd1,fe0,be0,fs0,md1,wd0,DID01
148,sd0,fe0,be0,fs0,md1,wd0,DID01
149,sd0,fe0,be0,fs0,md0,wd0,DID02
